as_of_date,scenario_id,alias,capital_brl,market_state,ticket_id,ticker,side,notional_brl,reason
2025-10-15,hephaestus_10000,Hephaestus,10000.0,defense,d042a6da-3025-4f80-a933-f3ba5ed390c3,B3SA3.SA,sell,1193.9004023551374,historical_hephaestus_defense
2025-10-15,hephaestus_10000,Hephaestus,10000.0,defense,39c07803-fa6e-4f07-90e1-413c1ffb74df,BTC-USD,sell,4104.13473467166,historical_hephaestus_defense
2025-10-15,hephaestus_10000,Hephaestus,10000.0,defense,f359a95a-e66c-4eb2-bd00-45dcff8e333a,ETH-USD,sell,2007.1944797562196,historical_hephaestus_defense
2025-10-15,hephaestus_10000,Hephaestus,10000.0,defense,1a0c09e9-1b19-469f-8bec-2174393ad9fa,ITUB4.SA,sell,1485.2395237966916,historical_hephaestus_defense
2025-10-15,hephaestus_10000,Hephaestus,10000.0,defense,e6369078-6d05-4f61-8dca-804bad86dd41,PETR4.SA,sell,2096.2557941719037,historical_hephaestus_defense
2025-10-15,hephaestus_10000,Hephaestus,10000.0,defense,57d4a3b2-248a-4f1a-832f-dd6a3b25f320,PRIO3.SA,sell,908.9821877708836,historical_hephaestus_defense
2025-10-21,hephaestus_10000,Hephaestus,10000.0,risk_on,b6c4f01d-dd5d-45e6-8a9f-7501d2e1e31c,B3SA3.SA,buy,1111.1140932867827,historical_hephaestus_risk_on
2025-10-21,hephaestus_10000,Hephaestus,10000.0,risk_on,3c480787-232e-4f17-b49f-3dd7d9f09ec0,BTC-USD,buy,4166.677849825435,historical_hephaestus_risk_on
2025-10-21,hephaestus_10000,Hephaestus,10000.0,risk_on,38a18b89-3152-43ee-927b-9924c083561c,ETH-USD,buy,2083.3389249127176,historical_hephaestus_risk_on
2025-10-21,hephaestus_10000,Hephaestus,10000.0,risk_on,f49ac12c-82f9-466e-84fc-8192caf90741,ITUB4.SA,buy,1388.8926166084784,historical_hephaestus_risk_on
2025-10-21,hephaestus_10000,Hephaestus,10000.0,risk_on,9aff1859-dc56-4fec-a212-d6090f801b87,PETR4.SA,buy,2083.3389249127176,historical_hephaestus_risk_on
2025-10-21,hephaestus_10000,Hephaestus,10000.0,risk_on,fe5973ea-eaca-47c9-8ba7-816841ff436d,PRIO3.SA,buy,972.2248316259349,historical_hephaestus_risk_on
2025-10-27,hephaestus_10000,Hephaestus,10000.0,risk_on,d51b5347-3bb4-44fa-be80-15f5c0d0edd5,BTC-USD,sell,102.5573061658306,historical_hephaestus_risk_on
2025-10-30,hephaestus_10000,Hephaestus,10000.0,risk_on,fd7099a3-23dd-4200-8d61-0c03fa44aa92,BTC-USD,buy,111.00970928375364,historical_hephaestus_risk_on
2025-11-03,hephaestus_10000,Hephaestus,10000.0,risk_on,3a1bfd8a-1eeb-4104-a9f6-09dcf4580af7,ETH-USD,buy,129.50493000507527,historical_hephaestus_risk_on
2025-11-04,hephaestus_10000,Hephaestus,10000.0,risk_on,01df01a8-f3c0-4786-b12d-ed9c21683d66,BTC-USD,buy,121.81468143663005,historical_hephaestus_risk_on
2025-11-04,hephaestus_10000,Hephaestus,10000.0,risk_on,f4b68693-25f4-4fe4-875f-d50a11ee3fc9,ETH-USD,buy,133.57364558190716,historical_hephaestus_risk_on
2025-11-04,hephaestus_10000,Hephaestus,10000.0,risk_on,7f5f5624-901e-42a0-9808-29a0c9057d04,ITUB4.SA,sell,112.88046516774466,historical_hephaestus_risk_on
2025-11-06,hephaestus_10000,Hephaestus,10000.0,defense,9c1d874a-f5e6-4370-9f9e-9267c6915ea4,B3SA3.SA,sell,1180.502455109959,historical_hephaestus_defense
2025-11-06,hephaestus_10000,Hephaestus,10000.0,defense,68d1d472-4e32-4183-ac37-2e3fefb9b34d,BTC-USD,sell,4033.6242876966485,historical_hephaestus_defense
2025-11-06,hephaestus_10000,Hephaestus,10000.0,defense,194cb7e1-4a4c-4326-afed-6a082ec7091f,ETH-USD,sell,2037.0813580242952,historical_hephaestus_defense
2025-11-06,hephaestus_10000,Hephaestus,10000.0,defense,a4e2fd95-3068-4ea4-b9fd-152b91971d82,ITUB4.SA,sell,1348.227735122209,historical_hephaestus_defense
2025-11-06,hephaestus_10000,Hephaestus,10000.0,defense,ae4927ba-a208-42de-a40a-728262a05575,PETR4.SA,sell,2160.3731355134532,historical_hephaestus_defense
2025-11-06,hephaestus_10000,Hephaestus,10000.0,defense,e58fc338-9417-4536-acbe-6f01620802d1,PRIO3.SA,sell,1063.7770842401146,historical_hephaestus_defense
