as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2025-03-19,hephaestus_10000,Hephaestus,10000.0,defense,14631.186584919498,14631.186584919498,14631.186584919498,0,0,
2025-03-20,hephaestus_10000,Hephaestus,10000.0,defense,14631.186584919498,14631.186584919498,14631.186584919498,0,0,
2025-03-21,hephaestus_10000,Hephaestus,10000.0,defense,14631.186584919498,14631.186584919498,14631.186584919498,0,0,
2025-03-24,hephaestus_10000,Hephaestus,10000.0,defense,14631.186584919498,14631.186584919498,14631.186584919498,0,0,
2025-03-25,hephaestus_10000,Hephaestus,10000.0,balanced,14631.186584919498,14611.434483029858,4369.603873586209,5,5,"BTC-USD,ITUB4.SA,PETR4.SA,B3SA3.SA,ETH-USD"
2025-03-26,hephaestus_10000,Hephaestus,10000.0,balanced,14596.452551081333,14596.452551081333,4369.603873586209,0,0,"BTC-USD,ITUB4.SA,PETR4.SA,B3SA3.SA,ETH-USD"
2025-03-27,hephaestus_10000,Hephaestus,10000.0,balanced,14601.33004168853,14601.33004168853,4369.603873586209,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,B3SA3.SA,ETH-USD"
2025-03-28,hephaestus_10000,Hephaestus,10000.0,balanced,14433.361544103413,14433.111369609618,4269.283901574545,1,1,"BTC-USD,PETR4.SA,ITUB4.SA,B3SA3.SA,ETH-USD"
2025-03-31,hephaestus_10000,Hephaestus,10000.0,defense,14257.48127442458,14238.348225434676,14238.348225434676,5,5,
2025-04-01,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-02,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-03,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-04,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-07,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-08,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-09,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-10,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
