date,N_used,p1,deff,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,top5,cluster_count,largest_share,entropy,turnover_pair_frac,p1_shuffle,deff_shuffle,structure_score,p1_bootstrap,deff_bootstrap,structure_score_bootstrap,eigvec_overlap_1d,eigvec_instability_1d,insufficient_universe
2020-06-24,470,0.5620649217539362,3.083470104444025,264.1705132243501,32.215149615818035,13.220103420390366,11.730866828626542,9.433614323995489,8.091581629099068,6.820779677193575,6.366035736968737,5.89189584292529,5.486442351784296,0.7037664838578306,42,0.7872340425531915,1.1609654778478447,0.03669192033752212,,,,,,,,,False
2020-06-25,470,0.5621061335509666,3.083190490545672,264.18988276895425,32.17939840183156,13.211539522662084,11.723670911919966,9.414727477465288,8.094134643662109,6.8028053966197595,6.3313479811558295,5.87714237948686,5.487451776708417,0.7036579129421984,42,0.7829787234042553,1.1651269999353546,0.1855192124483963,,,,,,,,,False
2020-06-26,470,0.5621405799822946,3.083166599070419,264.2060725916784,32.099582797277186,13.182387712789891,11.7189027570364,9.390725411282936,8.043803051598545,6.774476018498661,6.3120020511614605,5.875815397764955,5.470765598588111,0.7033993005746061,41,0.7851063829787234,1.1504260629048912,0.1653858367735789,0.01849857674405797,94.39829777714309,91.8587731813109,0.02403234488390739,85.34657491326102,82.80151654928899,0.9999828714278609,1.7128572139091247e-05,False
2020-06-29,470,0.5624213974945242,3.0804490137143437,264.3380568224262,32.00916515375297,13.178675319118662,11.708517005197946,9.379394934224482,8.101210069408726,6.762796768889163,6.295049322477457,5.8577732686019095,5.466888131640127,0.7034336366696181,41,0.7851063829787234,1.1504260629048912,0.04101982488771946,,,,,,,,,False
2020-06-30,470,0.5626744857223007,3.077880253137643,264.45700828948145,31.98102200609081,13.190915517045413,11.698527122806352,9.336709282419076,8.0963034446998,6.757429143462839,6.2922401411499385,5.851225006401648,5.471330581469452,0.703540813229453,41,0.7957446808510639,1.1138795657160885,0.03755387197749852,,,,,,,,,False
2020-07-01,470,0.5616662100390076,3.088528468798737,263.98311871833357,31.98573267014995,13.150995223219082,11.810581054931397,9.344829846940016,8.084206950576569,6.75744508697437,6.283298083409319,5.848219875039546,5.467737605855967,0.7027133138586682,45,0.776595744680851,1.222163225264363,0.04377807013564397,,,,,,,,,False
2020-07-02,470,0.5616145046264829,3.089163910938016,263.95881717444684,31.966957818981406,13.129049140006432,11.8207075662661,9.340911705335543,8.079542521444655,6.753621328955475,6.281067334508015,5.843649494027383,5.461041617765088,0.7025881774575243,44,0.7702127659574468,1.25597356435656,0.04720773034523432,,,,,,,,,False
2020-07-06,470,0.561400633274379,3.091564305208603,263.858297638958,31.921794336341982,13.132741866356886,11.822943971574732,9.337661141338334,8.066902437489226,6.785162704132203,6.304418524024351,5.839230057922165,5.463582611905598,0.7022839126692981,43,0.776595744680851,1.19671102586762,0.02690196434242163,0.018576023695652543,95.10968377848694,92.56094408285706,0.025046965170378417,85.16580496947964,82.61059433237503,0.9999829436838624,1.7056316137575855e-05,False
2020-07-07,470,0.5613197680084235,3.0924259933289115,263.82029096395917,31.93196994373892,13.12930248379232,11.804783702198112,9.3441485373685,8.106542499704684,6.771144763530127,6.300272971488285,5.828898541817384,5.447362986234325,0.7021925438958657,41,0.7808510638297872,1.1649642557951756,0.020296692827655036,,,,,,,,,False
2020-07-08,470,0.5611669219694799,3.0941203892548996,263.74845332565553,31.932095208768843,13.111881073696265,11.777445406999087,9.351489752664605,8.092183057819284,6.763986871874304,6.293724362202123,5.850540182202219,5.445514974939397,0.701960350569754,44,0.7851063829787234,1.1802213508626853,0.031148210316200155,,,,,,,,,False
