date,regime,regime_raw,risk_score,signal_confidence,alert_level_raw,alert_level,transition_score,dp1_5,ddeff_5
2024-09-23,dispersion,dispersion,0.2896668401874024,0.5611991772849564,green,green,-0.08538473001114143,-0.006065696270177834,0.5116628825030443
2024-09-24,dispersion,dispersion,0.29377928162415406,0.536642720405631,green,green,-0.022561654206050663,-0.006140244207362117,0.6274389389445556
2024-09-25,dispersion,dispersion,0.23352420614263408,0.6533881078877345,green,green,-0.3011566690435708,-0.002813819017553648,0.2818131315515764
2024-09-26,dispersion,dispersion,0.27839666840187405,0.5428470680399966,green,green,-0.03342651117649242,-0.005407058194038777,0.6474111392240829
2024-09-27,dispersion,dispersion,0.2553097345132743,0.5899580197175924,green,green,-0.17425105194699153,-0.004498375105079583,0.4780572987652185
2024-09-30,dispersion,dispersion,0.24318063508589277,0.6261814669655652,green,green,-0.23557809848364392,-0.0035067620955906154,0.3680266220008548
2024-10-01,dispersion,dispersion,0.3232170744403956,0.44010115145384326,green,green,0.21032081537197755,-0.008628120124777983,0.9313655626795239
2024-10-02,dispersion,dispersion,0.3195731389901093,0.47030441383080707,green,green,0.13925286231032122,-0.007590183530043232,0.8541695434112739
2024-10-03,dispersion,dispersion,0.31689224362311297,0.3945589467708547,green,green,0.31868963519494153,-0.009984032241728669,1.0621778870324796
2024-10-04,dispersion,dispersion,0.31431546069755334,0.31087094455473563,green,green,0.525830818778502,-0.012333954782140027,1.3123211025369983
2024-10-07,dispersion,dispersion,0.31647579385736596,0.3065005474666825,green,green,0.5288085924473599,-0.012498908982400747,1.3224738967214442
2024-10-08,dispersion,dispersion,0.28355023425299325,0.5247964019716332,green,green,0.003170535193514297,-0.006757940017979969,0.6432051799845269
2024-10-09,dispersion,dispersion,0.25070275897969807,0.5294427605807948,green,green,-0.006994477761959543,-0.006484092393748697,0.639197102680356
2024-10-10,dispersion,dispersion,0.15921395106715253,0.6923714353315602,green,green,-0.3914322120491753,-0.0010248698384814348,0.21313517648006197
2024-10-11,dispersion,dispersion,0.14575741801145237,0.6957076380020598,green,green,-0.43175109814212276,0.0021840364558695646,-0.11683345999423977
2024-10-14,dispersion,dispersion,0.15596043727225406,0.6964097540125183,green,green,-0.4075778571756199,0.0019158720789760886,-0.13185472569457346
2024-10-15,dispersion,dispersion,0.19724102030192608,0.6570861032020199,green,green,-0.31061340936663046,0.002647409160091707,-0.27507146474399136
2024-10-16,dispersion,dispersion,0.24174908901613745,0.5920834652554586,green,green,-0.15269493539376608,0.004192283256149065,-0.4886837350214783
2024-10-17,dispersion,dispersion,0.2340187402394586,0.6078281773071142,green,green,-0.1872131107604339,0.0032749370581145743,-0.47437029345272563
2024-10-18,dispersion,dispersion,0.18318584070796462,0.6737293171763706,green,green,-0.3558586447591499,0.00150755926415036,-0.27166596965836476
2024-10-21,dispersion,dispersion,0.1159552316501822,0.726926209626201,green,green,-0.48333787413044815,-0.0014758078095211957,0.011919005704079666
2024-10-22,dispersion,dispersion,0.14757938573659551,0.7039521862184599,green,green,-0.4245194122111024,-0.0016096559457294823,0.11581715955661309
2024-10-23,dispersion,dispersion,0.1940135346173868,0.6565017391000663,green,green,-0.3121886433535314,-0.003208556144884106,0.2392818566639221
2024-10-24,dispersion,dispersion,0.19927121290994276,0.6442034700285985,green,green,-0.28363836157416156,-0.0037175756491611145,0.26476200230789004
2024-10-25,dispersion,dispersion,0.20325351379489848,0.6393289571729224,green,green,-0.2476269106308308,-0.004119192079027251,0.26108932013179853
2024-10-28,dispersion,dispersion,0.09994794377928161,0.7389279645260858,green,green,-0.5072487441159184,-0.00048024664657303484,-0.021424975140046598
2024-10-29,dispersion,dispersion,0.12061426340447683,0.726255648072248,green,green,-0.47615883462270514,-0.0007753580386506143,-0.06348664541180682
2024-10-30,dispersion,dispersion,0.18654346694429985,0.6467337618690275,green,green,-0.28604703318998204,-0.0032037754728962697,0.28770757942239555
2024-10-31,dispersion,dispersion,0.15650702758979695,0.6874850954451511,green,green,-0.3806420183509042,-0.0015663245470738385,0.19988489566558698
2024-11-01,dispersion,dispersion,0.14882873503383653,0.6989703591509633,green,green,-0.39865824308815057,-0.0009962987271315282,0.18261164796722795
2024-11-04,dispersion,dispersion,0.18193649141072357,0.6504691835496962,green,green,-0.2890798194753482,-0.00228520067032148,0.3326110446139765
2024-11-05,dispersion,dispersion,0.17855283706402914,0.6626281852756537,green,green,-0.31487833762147854,-0.0014459452530587724,0.33057219342195054
2024-11-06,dispersion,dispersion,0.3277719937532535,0.43972449792289553,green,green,0.2233958948153284,0.0075029919649304,-1.0107493411691344
2024-11-07,dispersion,dispersion,0.3079646017699115,0.5145892236403906,green,green,0.04601460578188689,0.004951395824366461,-0.8179475569356498
2024-11-08,dispersion,dispersion,0.3215252472670484,0.5287356578404006,green,green,0.2492059988149367,0.004588691026310265,-0.7732851722816463
2024-11-11,dispersion,dispersion,0.30549193128578866,0.5090691397440023,green,green,0.059004633037296916,0.005150903458980588,-0.8313802927059868
2024-11-12,dispersion,dispersion,0.3120770432066632,0.5022508096194146,green,green,0.07695970565039557,0.005115195461733224,-0.8674134297335669
2024-11-13,dispersion,dispersion,0.29052576782925554,0.5113861533661723,green,green,0.04725469202455772,-0.00598592826872324,0.7624325689506719
2024-11-14,dispersion,dispersion,0.23607496095783448,0.5760408442866944,green,green,-0.10921333374069656,-0.004242891234864932,0.5641883559872056
2024-11-15,dispersion,dispersion,0.2277199375325351,0.5979832650120483,green,green,-0.1489867592471538,-0.0030863923829671236,0.5358374573397207
2024-11-18,dispersion,dispersion,0.2781884435190005,0.5153779702291292,green,green,0.040905729816372485,-0.005416932850416556,0.7819851166496683
2024-11-19,dispersion,dispersion,0.28878188443519004,0.47322960078814685,green,green,0.14474564158218373,-0.0062920072916748115,0.9292196917915447
