as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2024-02-07,hermes_10000,Hermes,10000.0,risk_on,17065.963837787545,17065.963837787545,4949.30347136451,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-02-08,hermes_10000,Hermes,10000.0,risk_on,17226.37094767696,17226.112659200648,5052.360573414868,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-02-09,hermes_10000,Hermes,10000.0,risk_on,17676.43573941476,17676.113927857245,5180.763384862053,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-02-12,hermes_10000,Hermes,10000.0,risk_on,18409.63311155903,18408.795267119433,5515.063316261115,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-02-13,hermes_10000,Hermes,10000.0,risk_on,18376.031342375776,18376.031342375776,5515.063316261115,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-02-14,hermes_10000,Hermes,10000.0,risk_on,18944.165116622626,18944.165116622626,5515.063316261115,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-02-15,hermes_10000,Hermes,10000.0,risk_on,18929.168027047937,18928.865122024967,5635.922420425262,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-02-16,hermes_10000,Hermes,10000.0,risk_on,18847.7533382802,18847.433934860837,5763.364384751206,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-02-19,hermes_10000,Hermes,10000.0,risk_on,19028.017272035813,19027.396299558925,5802.64605922487,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-02-20,hermes_10000,Hermes,10000.0,defense,19093.201772440047,19059.97538315701,19059.97538315701,3,3,
2024-02-21,hermes_10000,Hermes,10000.0,defense,19059.97538315701,19059.97538315701,19059.97538315701,0,0,
2024-02-22,hermes_10000,Hermes,10000.0,defense,19059.97538315701,19059.97538315701,19059.97538315701,0,0,
2024-02-23,hermes_10000,Hermes,10000.0,balanced,19059.97538315701,19038.05641146638,10270.467735214153,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-02-26,hermes_10000,Hermes,10000.0,balanced,19758.80552742009,19758.049124356006,10572.272557783055,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-02-27,hermes_10000,Hermes,10000.0,balanced,20015.316073709197,20014.91267815257,10733.227384878086,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-02-28,hermes_10000,Hermes,10000.0,balanced,20754.701384666023,20753.618131820633,11165.445270188715,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-02-29,hermes_10000,Hermes,10000.0,balanced,20705.109398919773,20705.109398919773,11165.445270188715,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-03-01,hermes_10000,Hermes,10000.0,balanced,20939.000830589233,20938.675010659208,11295.447422267287,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-03-04,hermes_10000,Hermes,10000.0,balanced,21624.99794531863,21624.02986316999,11681.71219957427,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-03-05,hermes_10000,Hermes,10000.0,balanced,21115.29219695369,21114.738346557635,11459.618190755591,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-03-06,hermes_10000,Hermes,10000.0,balanced,21593.651097140686,21593.24198903542,11622.852324755419,1,1,"BTC-USD,ETH-USD,SOL-USD"
