as_of_date,scenario_id,alias,capital_brl,market_state,ticket_id,ticker,side,notional_brl,reason
2024-02-05,hephaestus_1000,Hephaestus,1000.0,risk_on,b3a8f428-945b-4c5f-80d8-3e5fe7513519,BTC-USD,buy,202.3370226211162,historical_hephaestus_risk_on
2024-02-05,hephaestus_1000,Hephaestus,1000.0,risk_on,91f7b02e-14e3-438f-806f-328e2c2c5e70,ETH-USD,buy,119.40908074048062,historical_hephaestus_risk_on
2024-02-05,hephaestus_1000,Hephaestus,1000.0,risk_on,6d6d2ee4-6415-4b3a-b66e-6821a72c687b,ITUB4.SA,sell,79.4912635832892,historical_hephaestus_risk_on
2024-02-20,hephaestus_1000,Hephaestus,1000.0,defense,182d28ea-202b-412f-b043-59d1abe08410,BTC-USD,sell,687.6836417320106,historical_hephaestus_defense
2024-02-20,hephaestus_1000,Hephaestus,1000.0,defense,49360b1a-3b97-4fab-b7ba-8494c131a917,ETH-USD,sell,368.0460425217025,historical_hephaestus_defense
2024-02-20,hephaestus_1000,Hephaestus,1000.0,defense,798ac35a-af13-4b41-b36d-cb585c56096c,ITUB4.SA,sell,199.8108457754662,historical_hephaestus_defense
2024-02-20,hephaestus_1000,Hephaestus,1000.0,defense,5882e935-3963-4f0a-ae8e-2009d2b0a8c6,PETR4.SA,sell,302.9768979077664,historical_hephaestus_defense
2024-02-23,hephaestus_1000,Hephaestus,1000.0,balanced,92e153c0-8408-4ef5-b176-67002ec3bd19,BTC-USD,buy,414.59893365169074,historical_hephaestus_balanced
2024-02-23,hephaestus_1000,Hephaestus,1000.0,balanced,c14c95f9-9de0-4111-b444-8648bbf5a73e,ETH-USD,buy,207.29946682584537,historical_hephaestus_balanced
2024-02-23,hephaestus_1000,Hephaestus,1000.0,balanced,ee2969e7-82c3-4964-8f7b-38b78f007b6d,ITUB4.SA,buy,310.949200238768,historical_hephaestus_balanced
2024-02-23,hephaestus_1000,Hephaestus,1000.0,balanced,443a31f7-5fee-4ca4-bb35-3348a9d8c4e2,PETR4.SA,buy,310.949200238768,historical_hephaestus_balanced
2024-02-28,hephaestus_1000,Hephaestus,1000.0,balanced,3785fb17-d497-4c53-aa80-0cf36d8735c7,BTC-USD,sell,64.09124220653365,historical_hephaestus_balanced
2024-03-11,hephaestus_1000,Hephaestus,1000.0,defense,022927ae-710c-4dcc-8328-22bd8c79ea51,BTC-USD,sell,514.9118030169219,historical_hephaestus_defense
2024-03-11,hephaestus_1000,Hephaestus,1000.0,defense,f1a17fc4-14ee-4d61-99cb-d1c72e73e4b7,ETH-USD,sell,288.35101591713766,historical_hephaestus_defense
2024-03-11,hephaestus_1000,Hephaestus,1000.0,defense,664a5d52-e424-409b-a2dc-734735f15d3e,ITUB4.SA,sell,310.564940026985,historical_hephaestus_defense
2024-03-11,hephaestus_1000,Hephaestus,1000.0,defense,90a7bff2-258a-4b0c-bc11-fe5e766fb25e,PETR4.SA,sell,266.21240413272983,historical_hephaestus_defense
2024-03-14,hephaestus_1000,Hephaestus,1000.0,balanced,a80a95a0-f6f5-4fb6-a460-f8569d9a99ef,BTC-USD,buy,460.05540755234557,historical_hephaestus_balanced
2024-03-14,hephaestus_1000,Hephaestus,1000.0,balanced,b40de3e6-edc6-46d3-b18a-5f12085dbf32,ETH-USD,buy,230.02770377617279,historical_hephaestus_balanced
2024-03-14,hephaestus_1000,Hephaestus,1000.0,balanced,95c90778-ea3b-4016-bd05-e70d4f658729,ITUB4.SA,buy,345.04155566425914,historical_hephaestus_balanced
2024-03-14,hephaestus_1000,Hephaestus,1000.0,balanced,7bb6962e-6aea-4a40-9678-632ec9442e41,PETR4.SA,buy,345.04155566425914,historical_hephaestus_balanced
2024-03-19,hephaestus_1000,Hephaestus,1000.0,defense,92588eea-bfd8-48dd-a5f6-81b04e8e468a,BTC-USD,sell,399.1463635646173,historical_hephaestus_defense
2024-03-19,hephaestus_1000,Hephaestus,1000.0,defense,ac28c36e-dfdb-4a11-ba06-1646f1ae2750,ETH-USD,sell,187.1795105895794,historical_hephaestus_defense
2024-03-19,hephaestus_1000,Hephaestus,1000.0,defense,dd7f669f-8f3a-498f-9064-8ab5a563b662,ITUB4.SA,sell,344.3468695948524,historical_hephaestus_defense
2024-03-19,hephaestus_1000,Hephaestus,1000.0,defense,07f02b08-3409-48ea-bbae-db4d886b4e8b,PETR4.SA,sell,344.66165583211347,historical_hephaestus_defense
2024-03-26,hephaestus_1000,Hephaestus,1000.0,balanced,91a2397e-59bd-4426-8eac-bf87a211c892,BTC-USD,buy,434.36739485357896,historical_hephaestus_balanced
2024-03-26,hephaestus_1000,Hephaestus,1000.0,balanced,78e08ea2-ac47-4c4f-a188-bcae41210ea0,ETH-USD,buy,217.18369742678948,historical_hephaestus_balanced
2024-03-26,hephaestus_1000,Hephaestus,1000.0,balanced,78fd5f09-fd6c-4f86-9511-ae44e3425ce8,ITUB4.SA,buy,325.7755461401842,historical_hephaestus_balanced
2024-03-26,hephaestus_1000,Hephaestus,1000.0,balanced,837fd8e9-c903-4246-8415-48ac8bbee889,PETR4.SA,buy,325.7755461401842,historical_hephaestus_balanced
2024-04-03,hephaestus_1000,Hephaestus,1000.0,defense,3994b352-361d-4ad9-b53f-bef33805912d,BTC-USD,sell,409.38872506139893,historical_hephaestus_defense
2024-04-03,hephaestus_1000,Hephaestus,1000.0,defense,8420710c-aa1e-4dbd-ad95-6d7ea01d1bc7,ETH-USD,sell,200.44386798859804,historical_hephaestus_defense
2024-04-03,hephaestus_1000,Hephaestus,1000.0,defense,c31b9914-b7f3-414e-b01b-3d46eca3188e,ITUB4.SA,sell,323.6210950651976,historical_hephaestus_defense
2024-04-03,hephaestus_1000,Hephaestus,1000.0,defense,afe4ea6c-03fa-4f98-bc0d-3d5fb5e06bd1,PETR4.SA,sell,343.75489376944086,historical_hephaestus_defense
2024-04-09,hephaestus_1000,Hephaestus,1000.0,balanced,d7f2f44b-ce14-400e-a7bf-346d610deb8f,BTC-USD,buy,427.128122600989,historical_hephaestus_balanced
2024-04-09,hephaestus_1000,Hephaestus,1000.0,balanced,f53bdd7c-979f-4061-909a-80a71f6e06a1,ETH-USD,buy,213.5640613004945,historical_hephaestus_balanced
2024-04-09,hephaestus_1000,Hephaestus,1000.0,balanced,c147b2be-aefd-40ca-b26d-e3a7344014a5,ITUB4.SA,buy,320.34609195074177,historical_hephaestus_balanced
2024-04-09,hephaestus_1000,Hephaestus,1000.0,balanced,d8b86220-ec23-4ee6-9d03-ff9c6718eab1,PETR4.SA,buy,320.34609195074177,historical_hephaestus_balanced
2024-04-15,hephaestus_1000,Hephaestus,1000.0,defense,98be37a3-b18e-46a4-abef-2f56069b7c28,BTC-USD,sell,391.7574590587091,historical_hephaestus_defense
2024-04-15,hephaestus_1000,Hephaestus,1000.0,defense,5f4bda66-93a4-43ad-918f-42dfca5ce8a9,ETH-USD,sell,188.93322833841097,historical_hephaestus_defense
2024-04-15,hephaestus_1000,Hephaestus,1000.0,defense,ca7dc5d7-a548-460f-99a8-ebe8a17ea837,ITUB4.SA,sell,313.01763776258457,historical_hephaestus_defense
2024-04-15,hephaestus_1000,Hephaestus,1000.0,defense,66407091-984f-4fab-a274-970fa19583c3,PETR4.SA,sell,322.9171432677717,historical_hephaestus_defense
