id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2021-02-11;41328.47312500
N;Norte;2021-02-12;5681.66616667
NE;Nordeste;2021-02-12;11415.60970833
S;Sul;2021-02-12;13057.47404167
SE;Sudeste/Centro-Oeste;2021-02-12;40763.04695833
N;Norte;2021-02-13;5541.37012500
NE;Nordeste;2021-02-13;10905.46141667
S;Sul;2021-02-13;11397.77900000
SE;Sudeste/Centro-Oeste;2021-02-13;37657.32245833
N;Norte;2021-02-14;5223.08958333
NE;Nordeste;2021-02-14;10114.50104167
S;Sul;2021-02-14;9913.60079167
SE;Sudeste/Centro-Oeste;2021-02-14;34652.78525000
N;Norte;2021-02-15;5473.35725000
NE;Nordeste;2021-02-15;11017.48975000
S;Sul;2021-02-15;12205.13050000
SE;Sudeste/Centro-Oeste;2021-02-15;39193.02775000
N;Norte;2021-02-16;5486.90666667
NE;Nordeste;2021-02-16;11279.44120833
S;Sul;2021-02-16;12681.84175000
SE;Sudeste/Centro-Oeste;2021-02-16;40221.40854167
N;Norte;2021-02-17;5636.75870833
NE;Nordeste;2021-02-17;11326.34795833
S;Sul;2021-02-17;13308.82658333
SE;Sudeste/Centro-Oeste;2021-02-17;41686.87512500
N;Norte;2021-02-18;5742.12112500
NE;Nordeste;2021-02-18;11437.51679167
S;Sul;2021-02-18;13420.61641667
SE;Sudeste/Centro-Oeste;2021-02-18;42130.02029167
N;Norte;2021-02-19;5726.56937500
NE;Nordeste;2021-02-19;11405.04962500
S;Sul;2021-02-19;13641.60433333
SE;Sudeste/Centro-Oeste;2021-02-19;42572.77954167
N;Norte;2021-02-20;5430.84479167
NE;Nordeste;2021-02-20;10895.30037500
S;Sul;2021-02-20;12196.81950000
SE;Sudeste/Centro-Oeste;2021-02-20;39691.58770833
N;Norte;2021-02-21;5264.19170833
NE;Nordeste;2021-02-21;10095.86020833
S;Sul;2021-02-21;10931.06337500
SE;Sudeste/Centro-Oeste;2021-02-21;36382.34270833
N;Norte;2021-02-22;5609.96162500
NE;Nordeste;2021-02-22;11217.32825000
S;Sul;2021-02-22;14383.92079167
SE;Sudeste/Centro-Oeste;2021-02-22;42189.51058333
N;Norte;2021-02-23;5801.42887500
NE;Nordeste;2021-02-23;11650.66629167
S;Sul;2021-02-23;14799.38404167
SE;Sudeste/Centro-Oeste;2021-02-23;43215.22158333
N;Norte;2021-02-24;6050.63175000
NE;Nordeste;2021-02-24;11713.35800000
S;Sul;2021-02-24;14141.45895833
SE;Sudeste/Centro-Oeste;2021-02-24;43596.03116667
N;Norte;2021-02-25;5923.49295833
NE;Nordeste;2021-02-25;11548.22425000
S;Sul;2021-02-25;13825.73329167
SE;Sudeste/Centro-Oeste;2021-02-25;42681.60341667
N;Norte;2021-02-26;5935.63733333
NE;Nordeste;2021-02-26;11210.24445833
S;Sul;2021-02-26;13549.36141667
SE;Sudeste/Centro-Oeste;2021-02-26;41858.07562500
N;Norte;2021-02-27;5744.11400000
NE;Nordeste;2021-02-27;10429.54108333
S;Sul;2021-02-27;11645.26816667
SE;Sudeste/Centro-Oeste;2021-02-27;38057.98004167
N;Norte;2021-02-28;5432.12154167
NE;Nordeste;2021-02-28;9730.47804167
S;Sul;2021-02-28;10194.69350000
SE;Sudeste/Centro-Oeste;2021-02-28;34677.74545833
N;Norte;2021-03-01;5726.15562500
NE;Nordeste;2021-03-01;10459.75108333
S;Sul;2021-03-01;12981.47712500
SE;Sudeste/Centro-Oeste;2021-03-01;40531.18479167
N;Norte;2021-03-02;5694.82491667
NE;Nordeste;2021-03-02;11004.93225000
S;Sul;2021-03-02;13791.16295833
SE;Sudeste/Centro-Oeste;2021-03-02;42495.43612500
N;Norte;2021-03-03;5727.93566667
NE;Nordeste;2021-03-03;11296.04475000
S;Sul;2021-03-03;13961.18379167
SE;Sudeste/Centro-Oeste;2021-03-03;43422.35866667
N;Norte;2021-03-04;5698.36162500
NE;Nordeste;2021-03-04;11444.95966667
S;Sul;2021-03-04;13521.28645833
SE;Sudeste/Centro-Oeste;2021-03-04;43820.70791667
N;Norte;2021-03-05;5754.65708333
NE;Nordeste;2021-03-05;11625.02987500
S;Sul;2021-03-05;12922.52154167
SE;Sudeste/Centro-Oeste;2021-03-05;43271.25254167
N;Norte;2021-03-06;5612.10704167
NE;Nordeste;2021-03-06;11205.79220833
S;Sul;2021-03-06;11107.18729167
SE;Sudeste/Centro-Oeste;2021-03-06;39631.37829167
N;Norte;2021-03-07;5523.68058333
NE;Nordeste;2021-03-07;10764.58975000
S;Sul;2021-03-07;10014.99575000
SE;Sudeste/Centro-Oeste;2021-03-07;35583.24100000
N;Norte;2021-03-08;6016.58266667
NE;Nordeste;2021-03-08;12071.76708333
S;Sul;2021-03-08;13179.87508333
SE;Sudeste/Centro-Oeste;2021-03-08;40579.87466667
N;Norte;2021-03-09;5873.90820833
NE;Nordeste;2021-03-09;12068.41262500
S;Sul;2021-03-09;13452.10558333
SE;Sudeste/Centro-Oeste;2021-03-09;41493.18637500
N;Norte;2021-03-10;5797.91570833
NE;Nordeste;2021-03-10;12210.42475000
S;Sul;2021-03-10;13162.55700000
SE;Sudeste/Centro-Oeste;2021-03-10;41697.41420833
N;Norte;2021-03-11;5801.49633333
NE;Nordeste;2021-03-11;12205.85212500
S;Sul;2021-03-11;13378.57262500
SE;Sudeste/Centro-Oeste;2021-03-11;42607.27962500
N;Norte;2021-03-12;5937.26237500
NE;Nordeste;2021-03-12;12113.49687500
S;Sul;2021-03-12;13543.32016667
SE;Sudeste/Centro-Oeste;2021-03-12;43348.41829167
N;Norte;2021-03-13;5746.66291667
NE;Nordeste;2021-03-13;11418.37995833
S;Sul;2021-03-13;12168.30166667
SE;Sudeste/Centro-Oeste;2021-03-13;40105.99541667
N;Norte;2021-03-14;5544.69737500
NE;Nordeste;2021-03-14;10806.33216667
S;Sul;2021-03-14;11107.63412500
SE;Sudeste/Centro-Oeste;2021-03-14;37051.81108333
N;Norte;2021-03-15;5984.72554167
NE;Nordeste;2021-03-15;11908.15425000
S;Sul;2021-03-15;13899.92379167
SE;Sudeste/Centro-Oeste;2021-03-15;42606.45345833
N;Norte;2021-03-16;6172.88070833
NE;Nordeste;2021-03-16;12168.19950000
S;Sul;2021-03-16;14674.53087500
SE;Sudeste/Centro-Oeste;2021-03-16;43616.24500000
N;Norte;2021-03-17;6017.37995833
NE;Nordeste;2021-03-17;12017.72237500
S;Sul;2021-03-17;14292.01804167
SE;Sudeste/Centro-Oeste;2021-03-17;43703.16912500
N;Norte;2021-03-18;5823.98766667
NE;Nordeste;2021-03-18;11986.97479167
S;Sul;2021-03-18;13620.49166667
SE;Sudeste/Centro-Oeste;2021-03-18;43380.94595833
N;Norte;2021-03-19;5744.02216667
NE;Nordeste;2021-03-19;11673.93245833
S;Sul;2021-03-19;13467.24887500
SE;Sudeste/Centro-Oeste;2021-03-19;42972.49175000
N;Norte;2021-03-20;5631.64783333
NE;Nordeste;2021-03-20;11132.08875000
S;Sul;2021-03-20;12157.98075000
SE;Sudeste/Centro-Oeste;2021-03-20;40072.95225000
N;Norte;2021-03-21;5380.77704167
NE;Nordeste;2021-03-21;10411.37395833
S;Sul;2021-03-21;11123.09933333
SE;Sudeste/Centro-Oeste;2021-03-21;37416.35912500
N;Norte;2021-03-22;5845.44358333
NE;Nordeste;2021-03-22;11699.37241667
S;Sul;2021-03-22;13740.96600000
SE;Sudeste/Centro-Oeste;2021-03-22;43468.76079167
N;Norte;2021-03-23;5975.61433333
NE;Nordeste;2021-03-23;11766.85316667
S;Sul;2021-03-23;13805.06104167
SE;Sudeste/Centro-Oeste;2021-03-23;44400.17958333
N;Norte;2021-03-24;5887.69383333
NE;Nordeste;2021-03-24;11544.58912500
S;Sul;2021-03-24;13817.91237500
SE;Sudeste/Centro-Oeste;2021-03-24;44776.76320833
N;Norte;2021-03-25;5924.30937500
NE;Nordeste;2021-03-25;11346.38775000
S;Sul;2021-03-25;13965.00162500
SE;Sudeste/Centro-Oeste;2021-03-25;44769.46366667
N;Norte;2021-03-26;6001.75462500
NE;Nordeste;2021-03-26;11286.36583333
S;Sul;2021-03-26;13886.43941667
SE;Sudeste/Centro-Oeste;2021-03-26;44583.44758333
N;Norte;2021-03-27;5901.68450000
NE;Nordeste;2021-03-27;11002.66583333
S;Sul;2021-03-27;11818.98529167
SE;Sudeste/Centro-Oeste;2021-03-27;41813.01408333
N;Norte;2021-03-28;5561.16262500
NE;Nordeste;2021-03-28;10473.16637500
S;Sul;2021-03-28;10225.25266667
SE;Sudeste/Centro-Oeste;2021-03-28;38703.29154167
N;Norte;2021-03-29;6067.92645833
NE;Nordeste;2021-03-29;11615.29258333
S;Sul;2021-03-29;12790.31133333
SE;Sudeste/Centro-Oeste;2021-03-29;43871.12558333
N;Norte;2021-03-30;6096.06595833
NE;Nordeste;2021-03-30;11908.44300000
S;Sul;2021-03-30;12649.31375000
SE;Sudeste/Centro-Oeste;2021-03-30;43544.01641667
N;Norte;2021-03-31;5994.28325000
NE;Nordeste;2021-03-31;11852.27529167
