id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
N;NORTE;2022-01-21;15302.39648438;13214.77539063;86.35759735
SE;SUDESTE;2022-01-21;204615.32812500;79548.59375000;38.87710190
S;SUL;2022-01-21;19657.33007813;7300.62207031;37.13940048
NE;NORDESTE;2022-01-22;51691.22656250;37905.03515625;73.32969666
N;NORTE;2022-01-22;15302.39648438;13224.48144531;86.42099762
SE;SUDESTE;2022-01-22;204615.32812500;80158.39843750;39.17520142
S;SUL;2022-01-22;19657.33007813;7292.64208984;37.09880066
NE;NORDESTE;2022-01-23;51691.22656250;37906.05078125;73.33170319
N;NORTE;2022-01-23;15302.39648438;13236.52246094;86.49970245
SE;SUDESTE;2022-01-23;204615.32812500;80795.07031250;39.48630142
S;SUL;2022-01-23;19657.33007813;7277.27587891;37.02069855
NE;NORDESTE;2022-01-24;51691.22656250;37836.48437500;73.19709778
N;NORTE;2022-01-24;15302.39648438;13234.75097656;86.48809814
SE;SUDESTE;2022-01-24;204615.32812500;81119.83593750;39.64500046
S;SUL;2022-01-24;19657.33007813;7140.70117188;36.32590103
NE;NORDESTE;2022-01-25;51691.22656250;37764.94921875;73.05870056
N;NORTE;2022-01-25;15302.39648438;13217.02246094;86.37220001
SE;SUDESTE;2022-01-25;204615.32812500;81374.31250000;39.76940155
S;SUL;2022-01-25;19657.33007813;7025.86279297;35.74169922
NE;NORDESTE;2022-01-26;51691.22656250;37747.53125000;73.02500153
N;NORTE;2022-01-26;15302.39648438;13248.19531250;86.57599640
SE;SUDESTE;2022-01-26;204615.32812500;81682.13281250;39.91979980
S;SUL;2022-01-26;19657.33007813;6900.58984375;35.10440063
NE;NORDESTE;2022-01-27;51691.22656250;37742.56640625;73.01540375
N;NORTE;2022-01-27;15302.39648438;13283.53515625;86.80690002
SE;SUDESTE;2022-01-27;204615.32812500;81984.27343750;40.06750107
S;SUL;2022-01-27;19657.33007813;6806.77587891;34.62720108
NE;NORDESTE;2022-01-28;51691.22656250;37762.27734375;73.05359650
N;NORTE;2022-01-28;15302.39648438;13358.08984375;87.29409790
SE;SUDESTE;2022-01-28;204615.32812500;82402.71093750;40.27199936
S;SUL;2022-01-28;19657.33007813;6755.63183594;34.36700058
NE;NORDESTE;2022-01-29;51691.22656250;37795.47265625;73.11779785
N;NORTE;2022-01-29;15302.39648438;13462.27636719;87.97499847
SE;SUDESTE;2022-01-29;204615.32812500;83068.50000000;40.59740067
S;SUL;2022-01-29;19657.33007813;6846.80615234;34.83079910
NE;NORDESTE;2022-01-30;51691.22656250;37913.85546875;73.34680176
N;NORTE;2022-01-30;15302.39648438;13576.01464844;88.71820068
SE;SUDESTE;2022-01-30;204615.32812500;84256.67187500;41.17810059
S;SUL;2022-01-30;19657.33007813;6938.01220703;35.29479980
NE;NORDESTE;2022-01-31;51691.22656250;37912.33203125;73.34380341
N;NORTE;2022-01-31;15302.39648438;13643.12500000;89.15679932
SE;SUDESTE;2022-01-31;204615.32812500;85352.97656250;41.71390152
S;SUL;2022-01-31;19657.33007813;6962.20312500;35.41780090
NE;NORDESTE;2022-02-01;51691.22656250;37924.10937500;73.36660004
N;NORTE;2022-02-01;15302.39648438;13683.83984375;89.42289734
SE;SUDESTE;2022-02-01;204615.32812500;86438.37500000;42.24430084
S;SUL;2022-02-01;19657.33007813;6943.41796875;35.32229996
NE;NORDESTE;2022-02-02;51691.22656250;37947.86328125;73.41259766
N;NORTE;2022-02-02;15302.39648438;13694.54687500;89.49279785
SE;SUDESTE;2022-02-02;204615.32812500;87600.71093750;42.81240082
S;SUL;2022-02-02;19657.33007813;6902.74023438;35.11529922
NE;NORDESTE;2022-02-03;51691.22656250;37957.46484375;73.43119812
N;NORTE;2022-02-03;15302.39648438;13722.64160156;89.67639923
SE;SUDESTE;2022-02-03;204615.32812500;88895.99218750;43.44540024
S;SUL;2022-02-03;19657.33007813;6835.38623047;34.77270126
NE;NORDESTE;2022-02-04;51691.22656250;37966.25390625;73.44819641
N;NORTE;2022-02-04;15302.39648438;13758.54589844;89.91110229
SE;SUDESTE;2022-02-04;204615.32812500;90197.75781250;44.08160019
S;SUL;2022-02-04;19657.33007813;6804.06591797;34.61339951
NE;NORDESTE;2022-02-05;51691.22656250;38030.89453125;73.57319641
N;NORTE;2022-02-05;15302.39648438;13824.29882813;90.34069824
SE;SUDESTE;2022-02-05;204615.32812500;91666.27343750;44.79930115
S;SUL;2022-02-05;19657.33007813;6847.54003906;34.83449936
NE;NORDESTE;2022-02-06;51691.22656250;38231.39453125;73.96109772
N;NORTE;2022-02-06;15302.39648438;13861.38085938;90.58309937
SE;SUDESTE;2022-02-06;204615.32812500;93206.32812500;45.55199814
S;SUL;2022-02-06;19657.33007813;6900.29589844;35.10290146
NE;NORDESTE;2022-02-07;51691.22656250;38340.46093750;74.17209625
N;NORTE;2022-02-07;15302.39648438;13879.22070313;90.69969940
SE;SUDESTE;2022-02-07;204615.32812500;94655.50000000;46.26020050
S;SUL;2022-02-07;19657.33007813;6884.70019531;35.02360153
NE;NORDESTE;2022-02-08;51691.22656250;38500.98828125;74.48259735
N;NORTE;2022-02-08;15302.39648438;13914.49609375;90.93019867
SE;SUDESTE;2022-02-08;204615.32812500;96382.78906250;47.10440063
S;SUL;2022-02-08;19657.33007813;6858.06103516;34.88809967
NE;NORDESTE;2022-02-09;51691.22656250;38565.28125000;74.60700226
N;NORTE;2022-02-09;15302.39648438;13951.50390625;91.17199707
SE;SUDESTE;2022-02-09;204615.32812500;98144.29687500;47.96530151
S;SUL;2022-02-09;19657.33007813;6821.10205078;34.70000076
NE;NORDESTE;2022-02-10;51691.22656250;38858.78906250;75.17479706
N;NORTE;2022-02-10;15302.39648438;14019.87109375;91.61879730
